timestamp					cpu,memory,qps,disk_usage,memory_usage,iops,slow_queries,select_full_join,select_scan,threads_created,aborted_connects,aborted_clients,table_locks_waited,innodb_row_lock_waits,innodb_buffer_pool_read_requests,innodb_buffer_pool_reads,innodb_buffer_pool_write_requests,seconds_behind_master,connections,max_used_connections,qcache_hits,qcache_inserts,qcache_lowmem_prunes,created_tmp_tables,created_tmp_disk_tables,binlog_cache_disk_use,binlog_cache_use,label
2024-12-17 12:38:22.100647,11,1171,3.3777777777777773,8481039.00,8683520,0.42222222222222217,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:24.097954,11,1171,3.3777777777777773,8464655.00,8683520,0.42222222222222217,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:26.084092,11,1171,3.3777777777777773,8464655.00,8683520,0.42222222222222217,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:28.084090,10,1171,3.111111111111111,8481039.00,8683520,0.42222222222222217,0,0,0.9333333333333333,0,0,0,0,0,27.644444444444446,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:30.085546,10,1171,3.1111111111111107,8464655.00,8683520,0.4222222222222222,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:32.096746,10,1171,3.1111111111111107,8448271.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:34.101408,10,1171,3.1111111111111107,8464655.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:36.094998,10,1171,3.1111111111111107,8464655.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:38.083347,10,1171,3.1111111111111107,8481039.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:40.098460,10,1171,3.1111111111111107,8464655.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:42.098248,13,1183,3.1111111111111107,8448271.00,8683520,0.42222222222222217,0,0,0.9333333333333332,0,0,0,0,0,27.644444444444442,0,24.577777777777776,0,0.711111111111111,0,0,0,0,15.933333333333332,1.222222222222222,0,0,0
2024-12-17 12:38:44.100772,13,1183,3.688888888888889,8481039.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:46.098339,13,1183,3.6888888888888887,8481039.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:48.098856,13,1183,3.6888888888888887,8464655.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:50.097225,13,1183,3.6888888888888887,8464655.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:52.096949,13,1183,3.6888888888888887,8448271.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:54.085215,13,1183,3.6888888888888887,8464655.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:56.095942,13,1183,3.6888888888888887,8481039.00,8683520,0.7999999999999999,0,0,1.2444444444444442,0,0,0,0,0,54.77777777777777,0,48.71111111111111,0,0.8222222222222221,0,0,0,0,31.377777777777773,2.422222222222222,0,0,0
2024-12-17 12:38:58.098155,13,1185,3.4666666666666663,8464655.00,8683520,0.7999999999999999,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
2024-12-17 12:39:00.085873,13,1185,3.4666666666666663,8481039.00,8683520,0.8,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
2024-12-17 12:39:02.096681,13,1185,3.4666666666666663,8464655.00,8683520,0.7999999999999999,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
2024-12-17 12:39:04.100877,13,1185,3.4666666666666663,8464655.00,8683520,0.7999999999999999,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
2024-12-17 12:39:06.097283,13,1185,3.4666666666666663,8481039.00,8683520,0.7999999999999999,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
2024-12-17 12:39:08.097209,13,1185,3.4666666666666663,8464655.00,8683520,0.7999999999999999,0,0,1.1555555555555554,0,0,0,0,0,53.77777777777777,0,47.822222222222216,0,0.7777777777777777,0,0,0,0,31.266666666666662,2.3777777777777773,0,0,0
